score,symbol,expiry,dte,strike,delta,bid,mid,theta,ivr,iv_pct,otm_pct,open_int,underlying
0.7747,XOM,2026-04-17,28,145.0,-0.17,1.23,1.46,-0.066,52.9,34.6,8.3,4296,158.16
0.7606,JPM,2026-04-24,35,265.0,-0.227,4.35,4.6,-0.147,44.3,36.5,8.0,44,287.97
0.7523,MSFT,2026-04-24,35,365.0,-0.23,4.9,5.08,-0.152,52.2,29.7,6.2,283,389.02
0.7496,AAPL,2026-04-24,35,225.0,-0.151,2.06,2.12,-0.084,32.0,32.9,9.6,413,248.96
0.7386,JPM,2026-04-17,28,265.0,-0.214,3.65,3.92,-0.164,44.3,37.8,8.0,3408,287.97
0.7302,MSFT,2026-04-17,28,365.0,-0.208,3.9,3.95,-0.16,52.2,29.5,6.2,3885,389.02
0.7298,JPM,2026-05-01,42,265.0,-0.237,4.75,5.2,-0.132,44.3,35.5,8.0,8,287.97
0.7229,GOOGL,2026-04-24,35,285.0,-0.224,4.25,4.5,-0.136,38.1,34.2,7.2,84,307.13
0.7187,AAPL,2026-05-01,42,225.0,-0.182,3.05,3.12,-0.092,32.0,34.9,9.6,47,248.96
0.7096,AAPL,2026-04-24,35,230.0,-0.196,2.71,2.78,-0.094,32.0,31.3,7.6,349,248.96
0.7077,JPM,2026-04-10,21,265.0,-0.17,2.23,2.38,-0.154,44.3,35.6,8.0,1539,287.97
0.7009,GOOGL,2026-04-17,28,285.0,-0.198,3.3,3.38,-0.138,38.1,33.9,7.2,6937,307.13
0.6993,MSFT,2026-04-10,21,365.0,-0.181,2.87,2.91,-0.171,52.2,29.9,6.2,2847,389.02
0.6938,XOM,2026-04-10,21,149.0,-0.218,1.48,1.65,-0.086,52.9,32.9,5.8,0,158.16
0.6875,AAPL,2026-04-17,28,230.0,-0.174,2.09,2.17,-0.098,32.0,31.6,7.6,10019,248.96
0.6818,XOM,2026-04-10,21,150.0,-0.242,1.79,1.89,-0.091,52.9,32.7,5.2,615,158.16
0.6787,AAPL,2026-05-01,42,230.0,-0.227,3.9,4.0,-0.101,32.0,33.6,7.6,310,248.96
0.6733,MSFT,2026-04-10,21,370.0,-0.227,3.7,3.75,-0.189,52.2,28.9,4.9,2942,389.02
0.6717,JPM,2026-04-10,21,270.0,-0.222,3.05,3.2,-0.175,44.3,34.1,6.2,366,287.97
0.67,GOOGL,2026-04-10,21,285.0,-0.171,2.28,2.38,-0.147,38.1,33.2,7.2,904,307.13
0.6689,GOOGL,2026-04-17,28,290.0,-0.246,4.25,4.33,-0.15,38.1,32.8,5.6,4338,307.13
0.6566,AAPL,2026-04-10,21,230.0,-0.15,1.39,1.6,-0.105,32.0,32.6,7.6,700,248.96
0.6475,AAPL,2026-04-17,28,235.0,-0.233,2.87,2.96,-0.111,32.0,29.9,5.6,17290,248.96
0.638,GOOGL,2026-04-10,21,290.0,-0.226,3.25,3.3,-0.17,38.1,32.3,5.6,304,307.13
0.6166,AAPL,2026-04-10,21,235.0,-0.21,2.08,2.3,-0.123,32.0,30.7,5.6,525,248.96
